date,GLDAS,MODMm,MODDm,Ec,Ei,Es,PML,SMAP,TerrCl,WAPOR
1/1/2000,3.559,3.395,2.288,,,,,,3.553,
2/1/2000,3.607,3.561,2.805,,,,,,2.926,
3/1/2000,3.343,3.296,3.526,2.271,0.249,0.466,2.986,,3.343,
4/1/2000,2.639,2.847,3.07,1.67,0.056,0.639,2.365,,2.604,
5/1/2000,2.275,1.899,1.626,1.155,0.041,0.176,1.372,,2.026,
6/1/2000,1.225,1.841,0.991,0.754,0.007,0.122,0.883,,1.402,
7/1/2000,0.702,1.109,0.827,0.691,0,0.013,0.704,,0.774,
8/1/2000,0.314,0.641,0.435,0.678,0,0.006,0.684,,0.401,
9/1/2000,0.242,0.361,0.448,0.94,0,0.013,0.953,,0.25,
10/1/2000,0.555,0.905,0.765,1.301,0.013,0.048,1.362,,0.375,
11/1/2000,1.862,1.655,1.291,1.216,0.084,1.557,2.857,,4.233,
12/1/2000,2.817,2.731,2.002,1.024,0.112,1.572,2.708,,3.488,
1/1/2001,3.345,3.244,3.157,1.325,0.13,1.381,2.836,,3.175,
2/1/2001,3.246,3.314,3.099,1.78,0.199,0.849,2.828,,2.669,
3/1/2001,3.414,3.513,2.292,2.173,0.222,0.635,3.03,,3.255,
4/1/2001,3.094,3.193,1.689,2.132,0.045,0.593,2.77,,3.302,
5/1/2001,1.926,2.125,1.071,1.212,0.008,0.015,1.235,,2.22,
6/1/2001,0.978,1.453,0.768,0.67,0.004,0.08,0.754,,1.538,
7/1/2001,0.567,1.216,0.411,0.643,0,0.008,0.651,,0.736,
8/1/2001,0.309,0.506,0.423,0.627,0.003,0.047,0.677,,0.387,
9/1/2001,0.233,0.545,0.415,0.954,0.003,0.011,0.968,,0.309,
10/1/2001,0.681,0.865,0.611,1.477,0.034,0.203,1.714,,0.774,
11/1/2001,2.246,1.869,1.434,1.77,0.103,1.155,3.028,,3.797,
12/1/2001,3.323,2.553,1.3,2.237,0.183,0.956,3.376,,3.708,
1/1/2002,3.415,3.438,3.126,2.491,0.216,0.602,3.309,,3.557,
2/1/2002,3.476,3.719,3.234,2.585,0.205,0.544,3.334,,3.15,
3/1/2002,3.396,3.067,3.877,2.217,0.154,0.75,3.121,,2.805,
4/1/2002,2.651,2.377,2.966,1.421,0.061,1.083,2.565,,2.827,
5/1/2002,2.106,1.207,1.602,1.079,0.007,0.552,1.638,,0.924,
6/1/2002,0.969,0.858,1.126,0.61,0,0.048,0.658,,0.448,
7/1/2002,0.653,0.455,0.842,0.596,0,0,0.596,,0.272,
8/1/2002,0.279,0.388,0.454,0.613,0,0,0.613,,0.185,
9/1/2002,0.249,0.459,0.416,0.887,0.006,0.027,0.92,,0.166,
10/1/2002,0.818,0.956,0.817,1.245,0.025,0.249,1.519,,0.897,
11/1/2002,2.195,1.52,1.229,1.398,0.075,1.784,3.257,,3.857,
12/1/2002,2.833,1.867,2.235,1.389,0.143,1.271,2.803,,3.944,
1/1/2003,3.844,3.279,3.632,2.116,0.182,0.881,3.179,,3.689,
2/1/2003,3.766,3.438,3.955,2.274,0.247,0.523,3.044,,2.913,
3/1/2003,3.517,3.592,3.701,2.308,0.256,0.444,3.008,,3.212,
4/1/2003,3.066,2.748,3.038,1.823,0.052,0.59,2.465,,2.813,
5/1/2003,2.027,1.448,1.817,1.177,0.015,0.045,1.237,,2.024,
6/1/2003,1.097,0.986,1.281,0.702,0.005,0.192,0.899,,1.31,
7/1/2003,0.541,0.747,0.855,0.5,0.001,0.016,0.517,,0.577,
8/1/2003,0.316,0.334,0.608,0.647,0,0.005,0.652,,0.328,
