date,GLDAS,MODMm,MODDm,Ec,Ei,Es,PML,SMAP,TerrCl,WAPOR
1/1/2000,3.605,2.994,,,,,,,3.52,
2/1/2000,3.508,3.174,,,,,,,3.067,
3/1/2000,3.362,3.192,,1.796,0.218,0.761,2.775,,3.325,
4/1/2000,2.589,2.946,,1.421,0.05,0.785,2.256,,3.021,
5/1/2000,2.265,2.113,,1.304,0.029,0.162,1.495,,2.168,
6/1/2000,1.266,1.975,,0.845,0.008,0.195,1.048,,1.618,
7/1/2000,0.761,1.412,,0.8,0.008,0.059,0.867,,1.533,
8/1/2000,0.383,0.885,,0.899,0,0.018,0.917,,1.076,
9/1/2000,0.196,0.544,,1.125,0,0,1.125,,0.546,
10/1/2000,0.433,1.04,,1.385,0.007,0.024,1.416,,0.575,
11/1/2000,2.145,2.221,,0.99,0.094,1.354,2.438,,3.599,
12/1/2000,2.745,3.019,,1.151,0.171,1.067,2.389,,3.256,
1/1/2001,3.109,3.228,2.654,1.324,0.199,0.872,2.395,,2.926,
2/1/2001,3.109,3.314,2.705,1.489,0.192,0.871,2.552,,2.748,
3/1/2001,2.981,3.114,2.701,1.405,0.188,0.933,2.526,,3.311,
4/1/2001,2.823,3.225,3.571,1.544,0.03,0.865,2.439,,3.207,
5/1/2001,2.01,2.324,2.231,1.187,0.014,0.034,1.235,,2.205,
6/1/2001,1.217,1.62,1.356,0.795,0,0.108,0.903,,1.631,
7/1/2001,0.69,1.6,1.193,0.753,0.005,0.018,0.776,,1.424,
8/1/2001,0.446,0.792,0.76,0.801,0.004,0.076,0.881,,0.922,
9/1/2001,0.239,0.664,0.777,1.136,0.002,0.01,1.148,,0.551,
10/1/2001,0.613,0.904,1.004,1.491,0.02,0.16,1.671,,0.751,
11/1/2001,2.695,1.873,1.757,1.758,0.073,1.306,3.137,,3.484,
12/1/2001,3.282,2.118,1.921,1.594,0.121,1.315,3.03,,3.492,
1/1/2002,3.16,3.117,2.655,1.466,0.183,1.176,2.825,,3.032,
2/1/2002,3.289,3.338,2.444,1.834,0.154,0.937,2.925,,3.179,
3/1/2002,3.486,3.386,3.401,1.871,0.148,0.829,2.848,,3.674,
