date,GLDAS,MOD-Mm,MOD-Dm,Ec,Ei,Es,PML,SMAP,TerrCl,WAPOR
1/1/2000,2.142,3.281,2.071,,,,,,3.679,31.074
2/1/2000,2.105,3.426,2.906,,,,,,2.912,29.862
3/1/2000,1.992,3.181,3.269,1.231,0.108,1.939,3.278,,3.444,28.379
4/1/2000,1.475,2.964,2.779,1.08,0.049,1.323,2.452,,2.587,29.272
5/1/2000,1.196,1.846,1.301,0.62,0.041,0.388,1.049,,1.997,22.808
6/1/2000,0.607,1.493,0.737,0.331,0.011,0.221,0.563,,1.286,19.839
7/1/2000,0.362,0.754,0.555,0.298,0,0.005,0.303,,0.856,11.991
8/1/2000,0.187,0.361,0.251,0.295,0,0.004,0.299,,0.42,11.817
9/1/2000,0.149,0.228,0.25,0.423,0,0.028,0.451,,0.256,14.347
10/1/2000,0.254,0.771,0.312,0.561,0.009,0.064,0.634,,0.503,16.683
11/1/2000,1.059,1.208,0.697,0.762,0.049,1.764,2.575,,3.876,22.433
12/1/2000,1.666,2.44,1.817,0.898,0.079,2.207,3.184,,3.552,34.689
1/1/2001,2.176,3.246,2.159,1.277,0.103,2.286,3.666,,3.493,38.921
2/1/2001,1.976,3.031,2.615,1.495,0.116,1.528,3.139,,2.683,28.091
3/1/2001,1.967,3.18,1.521,1.361,0.112,1.973,3.446,,3.294,28.345
4/1/2001,1.558,3.093,1.134,1.277,0.027,0.984,2.288,,3.145,34.429
5/1/2001,0.904,2.116,0.72,0.688,0.005,0.016,0.709,,2.127,32.396
6/1/2001,0.429,1.184,0.554,0.37,0.002,0.056,0.428,,1.346,18.142
7/1/2001,0.262,0.784,0.255,0.327,0,0.005,0.332,,0.666,16.165
8/1/2001,0.179,0.279,0.273,0.321,0.003,0.069,0.393,,0.356,10.65
9/1/2001,0.125,0.259,0.246,0.44,0.001,0.01,0.451,,0.397,11.983
10/1/2001,0.286,0.529,0.3,0.605,0.02,0.157,0.782,,0.794,14.316
11/1/2001,1.271,1.42,0.819,0.859,0.06,1.548,2.467,,3.839,29.15
12/1/2001,1.791,2.61,0.939,1.45,0.11,2.117,3.677,,3.75,23.821
1/1/2002,2.053,3.33,2.797,1.741,0.125,1.441,3.307,,3.757,23.348
2/1/2002,2.213,3.308,3.308,1.823,0.116,1.895,3.834,,2.616,29.318
3/1/2002,1.956,2.31,3.647,1.469,0.078,1.29,2.837,,2.134,30.037
4/1/2002,1.356,1.798,2.336,0.873,0.041,1.701,2.615,,3.112,34.831
5/1/2002,1.034,0.731,1.112,0.566,0.003,0.751,1.32,,0.321,29.02
6/1/2002,0.463,0.565,0.755,0.301,0,0.041,0.342,,0.207,19.579
7/1/2002,0.319,0.259,0.541,0.244,0,0.01,0.254,,0.147,13.602
8/1/2002,0.167,0.242,0.253,0.263,0,0,0.263,,0.11,8.272
9/1/2002,0.14,0.324,0.227,0.385,0.004,0.024,0.413,,0.207,10.368
10/1/2002,0.525,0.592,0.443,0.465,0.016,0.538,1.019,,1.11,19.819
11/1/2002,1.228,1.002,0.576,0.587,0.034,2.332,2.953,,2.969,32.396
12/1/2002,1.531,1.671,0.952,0.863,0.076,1.862,2.801,,4.282,39.296
1/1/2003,2.129,3.052,3.164,1.538,0.122,1.817,3.477,,3.933,31.745
2/1/2003,2.054,3.326,3.861,1.519,0.16,1.613,3.292,,3.079,31.292
3/1/2003,1.967,3.337,4.151,1.502,0.158,1.606,3.266,,3.411,34.861
4/1/2003,1.55,2.622,2.85,1.126,0.032,1.168,2.326,,2.717,31.629
5/1/2003,0.972,1.053,1.442,0.64,0.008,0.02,0.668,,1.98,25.607
6/1/2003,0.503,0.666,0.843,0.347,0.007,0.131,0.485,,1.152,15.25
7/1/2003,0.255,0.531,0.524,0.234,0,0.02,0.254,,0.546,11.571
8/1/2003,0.175,0.206,0.319,0.272,0,0,0.272,,0.31,12.817
9/1/2003,0.132,0.178,0.293,0.375,0,0,0.375,,0.203,16.393
10/1/2003,0.395,0.469,0.882,0.47,0.01,0.299,0.779,,0.977,15.623
11/1/2003,0.868,0.609,0.62,0.485,0.027,1.133,1.645,,2.544,16.033
12/1/2003,1.764,1.403,2.5,0.751,0.054,2.723,3.528,,4.109,23.688
1/1/2004,2.124,2.675,3.392,1.222,0.124,1.9,3.246,,3.749,32.801
2/1/2004,2.37,3.171,3.732,1.61,0.098,1.964,3.672,,3.506,36.627
3/1/2004,1.993,3.45,2.677,1.476,0.134,1.732,3.342,,3.684,37.456
