date,GLDAS,MOD-Mm,MOD-Dm,Ec,Ei,Es,PML,SMAP,TerrCl,WAPOR
1/1/2000,3.082,2.745,,,,,,,3.756,
2/1/2000,3.645,3.26,,,,,,,3.205,
3/1/2000,3.43,3.345,,1.849,0.158,1.162,3.169,,3.496,
4/1/2000,2.651,2.958,,1.686,0.121,0.82,2.627,,3.372,
5/1/2000,2.467,1.992,,1.124,0.062,0.458,1.644,,2.172,
6/1/2000,1.414,1.461,,0.605,0.02,0.435,1.06,,1.613,
7/1/2000,0.871,1.144,,0.527,0.011,0.072,0.61,,1.513,
8/1/2000,0.416,0.706,,0.584,0,0.07,0.654,,0.835,
9/1/2000,0.253,0.344,,0.724,0.005,0.057,0.786,,0.432,
10/1/2000,0.455,0.805,,0.812,0.013,0.101,0.926,,0.381,
11/1/2000,1.987,1.653,,1.085,0.083,1.638,2.806,,3.794,
12/1/2000,2.884,2.503,,1.565,0.124,1.328,3.017,,3.619,
1/1/2001,3.215,3.392,2.259,1.971,0.158,1.014,3.143,,3.202,
2/1/2001,3.532,3.501,2.612,2.196,0.194,0.814,3.204,,3.002,
3/1/2001,3.458,3.524,3.633,2.141,0.211,0.827,3.179,,3.518,
4/1/2001,3.093,3.05,3.449,1.79,0.05,0.834,2.674,,2.764,
5/1/2001,2.116,2.09,2.118,1.031,0.025,0.062,1.118,,2.144,
6/1/2001,1.166,1.12,1.357,0.623,0.003,0.105,0.731,,1.428,
7/1/2001,0.689,1.03,1.069,0.565,0.003,0.019,0.587,,1.041,
8/1/2001,0.401,0.578,0.724,0.565,0.011,0.141,0.717,,0.492,
9/1/2001,0.207,0.332,0.602,0.76,0.003,0.018,0.781,,0.304,
10/1/2001,0.4,0.45,0.548,0.975,0.013,0.074,1.062,,0.352,
11/1/2001,2.122,0.941,0.676,1.214,0.078,1.246,2.538,,2.376,
12/1/2001,3.297,1.967,1.896,1.51,0.136,1.251,2.897,,3.909,
1/1/2002,3.493,2.814,2.701,2.083,0.183,1.078,3.344,,3.453,
2/1/2002,3.657,3.047,2.591,2.302,0.187,0.907,3.396,,3.563,
3/1/2002,4.033,3.439,3.436,2.42,0.21,0.813,3.443,,4.212,
4/1/2002,3.034,2.653,2.752,1.865,0.131,0.787,2.783,,2.868,
5/1/2002,2.25,1.443,1.424,1.143,0.016,0.337,1.496,,2.114,
6/1/2002,1.073,1.007,1.018,0.599,0.004,0.082,0.685,,1.375,
7/1/2002,0.803,0.663,0.72,0.57,0.007,0.054,0.631,,0.917,
8/1/2002,0.374,0.535,0.618,0.528,0.01,0.085,0.623,,0.532,
9/1/2002,0.327,0.42,0.554,0.68,0.013,0.193,0.886,,0.311,
10/1/2002,0.565,0.484,0.478,0.84,0.024,0.267,1.131,,0.514,
11/1/2002,1.672,0.842,0.623,0.852,0.049,1.574,2.475,,3.371,
12/1/2002,2.689,1.291,0.959,0.916,0.074,2.023,3.013,,4.034,
1/1/2003,3.844,2.784,2.748,1.565,0.125,1.543,3.233,,3.783,
2/1/2003,3.831,3.444,3.653,2.363,0.195,0.99,3.548,,3.198,
3/1/2003,3.62,3.468,3.586,2.303,0.234,0.689,3.226,,3.435,
4/1/2003,3.432,2.887,3.503,1.874,0.057,0.645,2.576,,2.911,
5/1/2003,2.051,1.53,2.247,1.158,0.026,0.041,1.225,,2.059,
6/1/2003,1.098,1.004,1.571,0.672,0.009,0.162,0.843,,1.348,
7/1/2003,0.698,0.791,1.091,0.479,0.024,0.198,0.701,,0.931,
8/1/2003,0.404,0.418,0.758,0.596,0.005,0.072,0.673,,0.448,
9/1/2003,0.264,0.292,0.588,0.727,0.009,0.108,0.844,,0.313,
10/1/2003,0.598,0.666,0.507,0.921,0.016,0.195,1.132,,0.432,
11/1/2003,1.047,1.048,0.834,0.986,0.035,0.689,1.71,,1.999,
12/1/2003,2.671,1.586,1.749,0.881,0.063,2.244,3.188,,3.856,
1/1/2004,3.615,2.752,2.459,1.736,0.14,1.57,3.446,,3.83,
2/1/2004,3.991,3.531,3.884,2.566,0.186,0.808,3.56,,3.647,
3/1/2004,3.576,3.762,4.328,2.594,0.221,0.641,3.456,,4.006,
4/1/2004,3.093,2.969,3.444,1.825,0.191,0.703,2.719,,3.124,
5/1/2004,2.151,1.6,2.14,0.981,0.02,0.544,1.545,,2.062,
6/1/2004,1.328,1.015,1.538,0.641,0.01,0.064,0.715,,1.547,
7/1/2004,0.94,0.669,1.091,0.54,0.01,0.131,0.681,,1.33,
8/1/2004,0.505,0.377,0.778,0.617,0,0.034,0.651,,0.709,
9/1/2004,0.293,0.279,0.687,0.66,0.01,0.112,0.782,,0.34,
10/1/2004,0.805,1.229,0.928,0.863,0.038,0.501,1.402,,0.739,
11/1/2004,1.905,1.151,1.27,1.09,0.066,1.588,2.744,,3.188,
12/1/2004,2.732,2.052,1.785,0.919,0.099,1.475,2.493,,3.64,
1/1/2005,3.619,2.939,2.841,1.545,0.132,1.355,3.032,,3.798,
2/1/2005,4.57,3.193,3.839,2.462,0.15,1.251,3.863,,3.701,
3/1/2005,4.236,2.399,3.624,2.137,0.143,1.039,3.319,,3.98,
4/1/2005,3.108,1.381,2.297,1.559,0.048,1.137,2.744,,2.665,
5/1/2005,1.489,0.862,1.363,0.815,0.016,0.18,1.011,,1.676,
6/1/2005,0.659,0.63,0.969,0.522,0.014,0.24,0.776,,0.771,
7/1/2005,0.394,0.516,0.81,0.421,0.008,0.162,0.591,,0.451,
8/1/2005,0.166,0.226,0.53,0.527,0,0.035,0.562,,0.273,
9/1/2005,0.155,0.24,0.376,0.556,0.009,0.074,0.639,,0.217,
10/1/2005,0.418,0.18,0.284,0.659,0.01,0.338,1.007,,0.137,
11/1/2005,1.589,0.682,0.784,1.11,0.069,1.214,2.393,,4.447,
12/1/2005,3.1,1.942,2.066,1.796,0.132,1.503,3.431,,4.314,
1/1/2006,3.723,3.416,3.292,2.115,0.199,0.854,3.168,,3.413,
2/1/2006,3.917,3.506,3.405,2.436,0.23,0.73,3.396,,3.293,
3/1/2006,3.282,3.704,4.276,2.112,0.23,0.632,2.974,,3.723,
4/1/2006,3.355,3.225,3.375,1.743,0.096,0.75,2.589,,2.558,
