date,PML,GLDAS,MD5Hm,MD1km,Terra_Cl,SMAP
1-Feb-13,3.048,3.886,4.242,0,3.435,
1-Mar-13,3.178,3.979,4.599,3.514,3.861,
1-Apr-13,2.963,3.269,3.376,3.72,2.86,
1-May-13,2.014,1.972,2.225,3.647,2.115,
1-Jun-13,1.161,1.109,1.382,2.264,1.333,
1-Jul-13,1.001,0.625,1.073,1.461,0.867,
1-Aug-13,1.162,0.41,0.7,0.993,0.547,
1-Sep-13,1.171,0.19,0.508,0.758,0.331,
1-Oct-13,1.465,0.402,0.589,0.364,0.624,
1-Nov-13,2.581,1.552,1,0.248,2.634,
1-Dec-13,3.358,3.212,2.202,0.34,4.107,
1-Jan-14,2.985,3.899,3.595,0.738,3.44,
1-Feb-14,2.845,3.765,3.961,1.807,2.978,
1-Mar-14,3.02,3.898,4.418,3.2,3.363,
1-Apr-14,2.619,3.031,3.986,3.626,2.725,
1-May-14,1.939,2.09,2.555,3.939,1.858,
1-Jun-14,1.247,1.215,1.594,3.439,1.297,
1-Jul-14,1.078,0.696,1.148,2.005,0.896,
1-Aug-14,1.055,0.363,0.83,1.294,0.62,
1-Sep-14,1.288,0.355,0.605,0.895,0.53,
1-Oct-14,1.572,0.531,0.544,0.538,0.696,
1-Nov-14,2.19,1.228,0.818,0.306,2.712,
1-Dec-14,3.234,2.893,1.564,0.337,4.465,
1-Jan-15,3.033,4.079,3.231,0.629,3.41,
1-Feb-15,3.314,4.522,3.982,1.221,3.324,
1-Mar-15,3.404,4.022,4.695,3.636,,
1-Apr-15,2.825,3.482,3.769,2.587,,3.313
1-May-15,2.204,2.278,2.699,1.735,,2.554
1-Jun-15,1.333,1.193,1.684,1.04,,1.519
1-Jul-15,1.135,0.653,1.141,0.745,,1.191
1-Aug-15,1.081,0.301,0.78,0.51,,1.06
1-Sep-15,1.142,0.163,0.5,0.346,,0.949
1-Oct-15,1.365,0.325,0.5,0.27,,0.899
1-Nov-15,3.075,1.914,1.144,1.607,,1.649
1-Dec-15,3.518,3.448,2.208,3.86,,2.676
1-Jan-16,3.281,3.698,3.309,3.601,,3.442
1-Feb-16,3.42,4.246,4.331,3.297,,3.905
1-Mar-16,3.23,4.048,4.353,3.819,,3.943
1-Apr-16,2.663,2.962,3.44,1.968,,3.587
1-May-16,1.916,1.922,2.098,1.507,,1.991
1-Jun-16,1.18,1.109,1.448,0.983,,1.289
1-Jul-16,0.931,0.616,1.011,0.64,,0.931
1-Aug-16,1.034,0.316,0.797,0.425,,0.881
1-Sep-16,1.082,0.167,0.496,0.315,,0.854
1-Oct-16,1.271,0.275,0.376,0.311,,0.786
1-Nov-16,2.44,1.723,0.956,2.433,,1.469
1-Dec-16,3.405,3.85,2.655,4.084,,3.006
1-Jan-17,3.135,4.067,3.492,3.509,,3.505
1-Feb-17,3.131,4.124,3.752,3.351,,3.84
1-Mar-17,2.787,3.712,4.514,3.725,,3.776
1-Apr-17,2.478,3.086,4.026,2.76,,3.511
1-May-17,2.232,2.354,2.941,2.032,,2.527
1-Jun-17,1.559,1.451,1.915,1.353,,1.597
1-Jul-17,1.209,0.829,1.335,0.952,,1.237
1-Aug-17,1.116,0.38,0.966,0.62,,1.011
1-Sep-17,1.219,0.205,0.601,0.445,,1.012
1-Oct-17,1.546,0.479,0.582,0.686,,1.015
1-Nov-17,2.756,1.897,1.55,3.535,,1.87
1-Dec-17,3.548,3.715,2.852,3.817,,3.353
1-Jan-18,3.639,4.362,3.895,4.094,,3.782
1-Feb-18,3.646,4.473,4.117,3.575,,3.751
1-Mar-18,3.444,4.325,4.477,3.886,,3.764
1-Apr-18,2.941,3.385,3.667,2.857,,3.402
1-May-18,2.277,2.349,2.586,2.363,,2.17
1-Jun-18,1.371,1.359,1.538,1.677,,1.443
1-Jul-18,0.965,0.703,1.187,1.115,,0.903
1-Aug-18,1.164,0.394,0.816,0.784,,1.189
1-Sep-18,1.208,0.209,0.583,0.502,,1
1-Oct-18,1.469,0.455,0.681,0.846,,0.902
1-Nov-18,2.49,1.536,1.136,2.854,,1.4
1-Dec-18,3.487,3.732,2.186,3.657,,3.235
1-Jan-19,3.467,4.315,3.747,3.462,,3.985
