date,GLDAS,MODMm,MODDm,Ec,Ei,Es,PML,SMAP,TerrCl,WAPOR
1/1/2000,2.142,,1.982,,,,,,3.715,
2/1/2000,2.105,,,,,,,,2.919,
3/1/2000,1.992,,2.633,0.66,0.08,2.514,3.254,,3.464,
4/1/2000,1.475,,2.474,0.598,0.032,1.68,2.31,,2.582,
5/1/2000,1.196,,1.334,0.401,0.026,0.421,0.848,,1.993,
6/1/2000,0.607,,0.814,0.25,0.006,0.222,0.478,,1.258,
7/1/2000,0.362,,0.676,0.255,0,0.003,0.258,,0.747,
8/1/2000,0.187,,0.451,0.283,0,0.004,0.287,,0.379,
9/1/2000,0.149,,0.51,0.396,0.001,0.028,0.425,,0.235,
10/1/2000,0.254,,0.624,0.465,0.007,0.065,0.537,,0.545,
11/1/2000,1.059,,0.985,0.441,0.038,1.841,2.32,,3.85,
12/1/2000,1.666,,1.386,0.431,0.053,2.717,3.201,,3.517,
1/1/2001,2.176,,1.538,0.599,0.054,3.069,3.722,,3.55,
2/1/2001,1.976,,2.065,0.505,0.064,2.713,3.282,,2.703,
3/1/2001,1.967,,1.463,0.645,0.069,2.689,3.403,,3.308,
4/1/2001,1.558,,1.309,0.714,0.017,1.246,1.977,,3.131,
5/1/2001,0.904,,0.884,0.457,0.004,0.017,0.478,,2.108,
6/1/2001,0.429,,0.706,0.282,0.001,0.052,0.335,,1.306,
7/1/2001,0.262,,0.454,0.274,0,0.003,0.277,,0.564,
8/1/2001,0.179,,0.466,0.299,0.003,0.07,0.372,,0.313,
9/1/2001,0.125,,0.431,0.412,0.001,0.01,0.423,,0.379,
10/1/2001,0.286,,0.558,0.513,0.017,0.164,0.694,,0.893,
11/1/2001,1.271,,1.254,0.528,0.04,1.821,2.389,,3.935,
12/1/2001,1.791,,1.327,0.627,0.061,3.012,3.7,,3.731,
1/1/2002,2.053,,2.505,0.751,0.064,2.214,3.029,,3.785,
2/1/2002,2.213,,2.964,0.82,0.059,2.843,3.722,,2.586,
3/1/2002,1.956,,3.199,0.726,0.045,1.582,2.353,,2.123,
4/1/2002,1.356,,2.038,0.481,0.029,2.021,2.531,,3.235,
5/1/2002,1.034,,1.15,0.378,0.002,0.834,1.214,,0.309,
6/1/2002,0.463,,0.846,0.225,0,0.041,0.266,,0.201,
7/1/2002,0.319,,0.673,0.232,0,0.011,0.243,,0.143,
8/1/2002,0.167,,0.452,0.257,0,0,0.257,,0.105,
9/1/2002,0.14,,0.486,0.335,0.004,0.023,0.362,,0.21,
10/1/2002,0.525,,0.745,0.389,0.014,0.578,0.981,,1.237,
11/1/2002,1.228,,0.907,0.516,0.03,2.275,2.821,,2.99,
12/1/2002,1.531,,1.486,0.593,0.064,2.112,2.769,,4.258,
1/1/2003,2.129,,3.084,0.771,0.071,2.475,3.317,,3.969,
2/1/2003,2.054,,3.322,0.624,0.076,2.576,3.276,,3.1,
3/1/2003,1.967,,3.671,0.598,0.073,2.584,3.255,,3.431,
4/1/2003,1.55,,2.433,0.551,0.015,1.656,2.222,,2.702,
5/1/2003,0.972,,1.245,0.393,0.005,0.018,0.416,,1.961,
6/1/2003,0.503,,0.841,0.248,0.005,0.124,0.377,,1.075,
7/1/2003,0.255,,0.606,0.2,0,0.02,0.22,,0.476,
8/1/2003,0.175,,0.491,0.273,0,0,0.273,,0.279,
9/1/2003,0.132,,0.522,0.371,0,0,0.371,,0.185,
10/1/2003,0.395,,0.96,0.441,0.011,0.289,0.741,,1.112,
11/1/2003,0.868,,0.631,0.422,0.025,1.165,1.612,,2.543,
12/1/2003,1.764,,2.361,0.307,0.028,3.253,3.588,,4.083,
1/1/2004,2.124,,2.927,0.588,0.073,2.722,3.383,,3.784,
2/1/2004,2.37,,3.327,0.807,0.058,2.906,3.771,,3.513,
3/1/2004,1.993,,2.148,0.695,0.076,2.585,3.356,,3.698,
4/1/2004,1.254,,1.409,0.482,0.041,1.103,1.626,,2.49,
5/1/2004,0.865,,0.895,0.342,0.001,0.253,0.596,,1.84,
6/1/2004,0.446,,0.681,0.225,0,0.007,0.232,,1.163,
7/1/2004,0.302,,0.6,0.228,0,0.002,0.23,,0.531,
8/1/2004,0.189,,0.405,0.302,0,0.005,0.307,,0.301,
9/1/2004,0.126,,0.454,0.381,0,0.005,0.386,,0.219,
10/1/2004,0.56,,0.525,0.381,0.016,0.839,1.236,,0.595,
11/1/2004,1.197,,0.577,0.46,0.028,1.641,2.129,,2.141,
12/1/2004,1.884,,1.245,0.587,0.069,2.814,3.47,,3.754,
1/1/2005,2.055,,3.008,0.759,0.089,2.183,3.031,,3.851,
2/1/2005,2.288,,2.187,0.977,0.052,3.011,4.04,,3.43,
3/1/2005,2.186,,3.856,0.761,0.053,1.562,2.376,,2.987,
4/1/2005,1.302,,2.725,0.555,0.012,1.269,1.836,,1.663,
5/1/2005,0.624,,1.344,0.352,0,0.005,0.357,,0.551,
6/1/2005,0.281,,0.897,0.257,0,0.005,0.262,,0.306,
7/1/2005,0.16,,0.654,0.231,0.002,0.029,0.262,,0.199,
8/1/2005,0.09,,0.523,0.283,0,0.029,0.312,,0.141,
9/1/2005,0.058,,0.523,0.353,0.002,0.01,0.365,,0.104,
10/1/2005,0.093,,0.637,0.439,0,0.029,0.468,,0.087,
11/1/2005,1.061,,0.793,0.4,0.033,1.415,1.848,,3.698,
