date,Mul1,Ser2,KKIA3,CH4,UNZ5
Jan-13,-0.15,-0.15,-0.15,-0.15,-0.15
Feb-13,-0.15,-0.15,-0.15,-0.15,-0.15
Mar-13,-0.15,-0.15,-0.15,-0.15,-0.15
Apr-13,-0.15,-0.15,-0.15,-0.15,-0.15
May-13,-0.15,-0.15,-0.15,-0.15,-0.15
Jun-13,-0.15,-0.15,-0.15,-0.15,-0.15
Jul-13,-0.15,-0.15,-0.15,-0.15,-0.15
Aug-13,-0.15,-0.15,-0.15,-0.15,-0.15
Sep-13,-0.15,-0.15,-0.15,-0.15,-0.15
Oct-13,57.3,56.08,60.36,-0.15,57.89
Nov-13,56.87,51.11,57.52,-0.15,56.98
Dec-13,51.17,47.85,53.06,-0.15,50.51
Jan-14,51.68,33.07,46.17,-0.15,45.89
Feb-14,46.81,32.64,20.76,-0.15,41.56
Mar-14,44.15,34.26,45.66,-0.15,44.13
Apr-14,37.69,28.77,39.28,-0.15,39.93
May-14,37.55,32.19,38.89,-0.15,40.02
Jun-14,38.01,30.83,35.42,-0.15,35.83
Jul-14,42.7,32.14,36.19,-0.15,35.58
Aug-14,50.58,34.83,42.46,-0.15,41.29
Sep-14,49.12,41.17,50.04,-0.15,46.75
Oct-14,42.51,46.29,58.21,-0.15,54.4
Nov-14,55.75,46.11,59.36,-0.15,57.94
Dec-14,47.13,38.6,47.4,-0.15,45.85
Jan-15,27.93,40.65,43.57,-0.15,41.41
Feb-15,32.67,44.49,50.13,-0.15,48.26
Mar-15,36.21,44.19,49.09,-0.15,5.62
Apr-15,23.98,31.82,32.99,-0.15,33.92
May-15,29.38,37.27,41.51,-0.15,40.35
Jun-15,26.77,34.71,36.61,3.5,35.91
Jul-15,39.6,37.48,38.17,4.42,37.2
Aug-15,41.23,39.27,42.36,5.84,41.03
Sep-15,43.28,44,50.15,7.59,51.04
Oct-15,45.42,52.22,57.68,8.22,57.8
Nov-15,36.87,51.19,54.05,7.71,53.6
Dec-15,38.43,52.02,58.53,5.85,55.77
Jan-16,47.78,43.7,53.13,4.89,49.06
Feb-16,51.15,46.67,51.27,2.77,48.11
Mar-16,44.94,42,43.03,2.8,40.77
Apr-16,38.55,35.33,39.41,2.97,40.5
May-16,38.13,35.74,37.11,4.37,37.35
Jun-16,35.53,32.75,34.2,4.3,33.39
Jul-16,33.65,32.44,33.49,4.56,33.58
Aug-16,38.93,36.12,40.12,6.45,39.92
Sep-16,48.28,47.48,50.54,7.65,48.89
Oct-16,54.52,52.62,59.82,9.53,58.72
Nov-16,49.9,46.7,53.83,6.98,50.97
Dec-16,49.15,42.77,49.99,4.09,47.03
Jan-17,38.03,40.77,37.93,3.4,34.87
Feb-17,42.23,39.84,41.42,3.02,39.29
Mar-17,36.64,35.77,38.7,3.29,37.71
Apr-17,-0.15,33.38,34.41,1.97,35.72
May-17,-0.15,32.9,37.5,2.52,37.55
Jun-17,-0.15,32.69,33.27,3.21,33.86
Jul-17,-0.15,32.9,34.49,3.87,34.64
Aug-17,-0.15,39.06,41.42,5.08,43.63
Sep-17,-0.15,47.5,49.42,6.81,51.5
Oct-17,-0.15,48.03,51.35,7.89,51.47
Nov-17,-0.15,42.34,41.15,5.9,45.47
Dec-17,-0.15,46.28,47.85,3.12,46.24
Jan-18,-0.15,31.19,56.27,4.31,36.32
Feb-18,-0.15,20.51,41.04,2.58,42.61
Mar-18,-0.15,-0.15,45.2,2.17,38.24
Apr-18,-0.15,-0.15,39.6,2.37,37.13
May-18,-0.15,-0.15,36.54,2.96,35.76
Jun-18,-0.15,-0.15,35.31,4.7,28.32
Jul-18,-0.15,-0.15,27.77,3.77,43.85
Aug-18,-0.15,-0.15,45.05,6.23,50.42
Sep-18,-0.15,-0.15,51.17,8.7,56.16
Oct-18,-0.15,-0.15,51.85,10.83,55.64
Nov-18,-0.15,-0.15,49.97,6.62,46.99
Dec-18,-0.15,-0.15,49.77,2.25,43.19
Jan-19,-0.15,-0.15,45.82,1.68,51.42
Feb-19,-0.15,-0.15,53.04,2.06,56.82
Mar-19,-0.15,-0.15,59.02,2.89,42.85
Apr-19,-0.15,-0.15,42.88,2.43,41.09
May-19,-0.15,-0.15,40.98,2.81,35.39
Jun-19,-0.15,-0.15,34.41,3.63,39.03
Jul-19,-0.15,-0.15,39.32,4.89,81.53
Aug-19,-0.15,-0.15,41.98,5.89,70.68
Sep-19,-0.15,-0.15,49.3,-0.15,101.91
Oct-19,-0.15,-0.15,58.07,-0.15,107.85
Nov-19,-0.15,-0.15,55.94,-0.15,81.73
Dec-19,-0.15,-0.15,55.69,-0.15,69.3
Jan-20,-0.15,-0.15,46.68,-0.15,70.18
Feb-20,-0.15,-0.15,44.84,-0.15,29.19
Mar-20,-0.15,-0.15,45.98,-0.15,
Apr-20,-0.15,-0.15,36.65,-0.15,
May-20,-0.15,-0.15,47.79,-0.15,
Jun-20,-0.15,-0.15,35.81,1.46,
Jul-20,-0.15,-0.15,40.76,-0.15,
Aug-20,-0.15,-0.15,50.57,-0.15,54.81
Sep-20,-0.15,-0.15,57.58,-0.15,56.43
Oct-20,-0.15,-0.15,64.53,-0.15,58.07
Nov-20,-0.15,-0.15,65.57,-0.15,39.61
Dec-20,-0.15,-0.15,46.78,-0.15,38.22
Jan-21,-0.15,-0.15,43.86,-0.15,43
Feb-21,-0.15,-0.15,46.21,-0.15,43.95
Mar-21,-0.15,-0.15,50.78,-0.15,42.94
Apr-21,-0.15,-0.15,50.62,-0.15,38.19
May-21,-0.15,-0.15,43.66,-0.15,33.25
Jun-21,-0.15,-0.15,38.3,-0.15,31.63
Jul-21,-0.15,-0.15,37.45,-0.15,41.79
Aug-21,-0.15,-0.15,47.88,-0.15,47.08
Sep-21,-0.15,-0.15,55.25,11.66,52.56
Oct-21,-0.15,-0.15,60.38,-0.15,54.96
Nov-21,-0.15,-0.15,59,-0.15,56.65
Dec-21,-0.15,-0.15,60.57,-0.15,37.83
Jan-22,-0.15,-0.15,43.07,-0.15,47.21
Feb-22,-0.15,-0.15,52.16,-0.15,39.61
Mar-22,-0.15,-0.15,46.67,-0.15,37.79
Apr-22,-0.15,-0.15,44.15,-0.15,40.33
May-22,-0.15,-0.15,46.23,-0.15,28.69
Jun-22,-0.15,-0.15,32.74,-0.15,31.49
Jul-22,-0.15,-0.15,37.52,-0.15,42.88
Aug-22,-0.15,-0.15,50.81,-0.15,46.48
Sep-22,-0.15,-0.15,55.11,-0.15,51.44
Oct-22,-0.15,-0.15,61.44,-0.15,44.69
Nov-22,-0.15,-0.15,50.08,-0.15,48.28
Dec-22,-0.15,-0.15,55.43,-0.15,-0.22
Jan-23,-0.15,-0.15,-0.15,-0.15,-0.15
Feb-23,-0.15,-0.15,-0.15,-0.15,-0.15
Mar-23,-0.15,-0.15,-0.15,-0.15,-0.15
Apr-23,-0.15,-0.15,-0.15,-0.15,-0.15
May-23,-0.15,-0.15,-0.15,-0.15,-0.15
Jun-23,-0.15,-0.15,-0.15,-0.15,-0.15
Jul-23,-0.15,-0.15,-0.15,-0.15,-0.15
Aug-23,-0.15,-0.15,-0.15,-0.15,-0.15
Sep-23,-0.15,-0.15,-0.15,-0.15,-0.15
Oct-23,-0.15,-0.15,-0.15,-0.15,-0.15
Nov-23,-0.15,-0.15,-0.15,-0.15,-0.15
Dec-23,-0.15,-0.15,-0.15,-0.15,-0.15
