date,Mul1,Ser2,KKIA3,CH4,UNZ5
1-Jan-13,,,,,
1-Feb-13,,,,,
1-Mar-13,,,,,
1-Apr-13,,,,,
1-May-13,,,,,
1-Jun-13,,,,,
1-Jul-13,,,,,
1-Aug-13,,,,,
1-Sep-13,,,,,
1-Oct-13,9.96,7.63,10.72,,9.55
1-Nov-13,10.59,7.17,10.35,,9.78
1-Dec-13,11.71,8.98,11.72,,8.84
1-Jan-14,15.81,7.09,19.12,,10.33
1-Feb-14,16,13.9,1.34,,8
1-Mar-14,6.27,3.18,6.34,,5.57
1-Apr-14,4.52,2.43,5.37,,4.97
1-May-14,4.55,2.9,5.09,,5.05
1-Jun-14,4.66,3.14,5.13,,4.95
1-Jul-14,5.24,3.4,5.06,,4.78
1-Aug-14,6.67,4.16,6.65,,6.43
1-Sep-14,7.02,4.87,7.85,,7.26
1-Oct-14,7.69,5.9,10.31,,8.92
1-Nov-14,9.78,5.87,10.29,,9.37
1-Dec-14,17.77,11.72,15.87,,13.62
1-Jan-15,1.84,16.11,13.19,,8.71
1-Feb-15,2.15,15.15,17.6,,11.81
1-Mar-15,2.64,4.44,6.8,,1.79
1-Apr-15,1.61,2.94,4.49,,4.05
1-May-15,2.2,3.42,5.54,,4.91
1-Jun-15,2.24,3.43,5.12,1.98,4.63
1-Jul-15,9.2,4.04,5.73,2.24,5.19
1-Aug-15,8.13,4.37,6.14,2.84,5.84
1-Sep-15,5.34,5.59,8.15,3.72,7.65
1-Oct-15,5.82,7.14,10.58,4.23,9.56
1-Nov-15,4.17,8.12,11.52,3.85,10.48
1-Dec-15,3.22,14.74,18.06,2.57,12.67
1-Jan-16,11.53,9.68,11.56,2.3,8.51
1-Feb-16,14.6,10.34,12.2,1.5,9.24
1-Mar-16,9.35,5.83,8.63,1.27,6.71
1-Apr-16,4.24,3.2,5.38,1.6,5.17
1-May-16,4.28,3.33,4.99,2.01,4.72
1-Jun-16,4.07,3.05,4.72,1.89,4.22
1-Jul-16,4.47,3.56,5.16,2.23,4.86
1-Aug-16,4.94,4.01,5.77,2.8,5.61
1-Sep-16,7.32,6.14,8.57,3.97,7.95
1-Oct-16,8.77,7.21,10.47,3.98,9.88
1-Nov-16,8.89,6.71,10.71,3.17,9.08
1-Dec-16,12.6,8.04,13.11,1.9,9.69
1-Jan-17,8.35,16.5,15.82,1.22,7.02
1-Feb-17,14.83,13.55,11.42,1.21,7.46
1-Mar-17,5.07,3.61,5.15,1.22,4.64
1-Apr-17,,2.81,4.12,1.1,3.89
1-May-17,,2.83,5.4,1.27,4.65
1-Jun-17,,2.95,4.29,1.51,4.1
1-Jul-17,,3.11,4.63,1.74,4.47
1-Aug-17,,4.31,6.16,2.44,6.22
1-Sep-17,,5.92,7.94,3.42,7.64
1-Oct-17,,6.92,10.14,4.15,9.2
1-Nov-17,,5.87,7.44,2.58,8.11
1-Dec-17,,7.57,8.97,1.35,7.47
1-Jan-18,,1.96,12.24,2.23,6.37
1-Feb-18,,1.24,10.1,1.25,6.16
1-Mar-18,,,8.16,1.1,4.38
1-Apr-18,,,4.99,1.24,4.65
1-May-18,,,5.25,1.58,4.78
1-Jun-18,,,5.03,2.29,3.42
1-Jul-18,,,3.53,1.84,6.6
1-Aug-18,,,7.13,3.45,8.02
1-Sep-18,,,8.65,4.62,8.34
1-Oct-18,,,8.48,4.64,9.24
1-Nov-18,,,9.14,3.53,7.96
1-Dec-18,,,10.4,1.3,10.47
1-Jan-19,,,19.1,0.9,9.12
1-Feb-19,,,11.34,1.16,11.4
1-Mar-19,,,15.57,1.43,5.61
1-Apr-19,,,6.53,1.36,5.15
1-May-19,,,5.94,1.61,4.95
1-Jun-19,,,5.2,1.74,5.34
1-Jul-19,,,5.92,2.53,8.58
1-Aug-19,,,6.36,3.11,8.9
1-Sep-19,,,8.31,,19.76
1-Oct-19,,,10.84,,21.96
1-Nov-19,,,12.42,,11.7
1-Dec-19,,,11.07,,11.58
1-Jan-20,,,14.7,,14.51
1-Feb-20,,,9.32,,2.84
1-Mar-20,,,6.86,,
1-Apr-20,,,,,
1-May-20,,,,,
1-Jun-20,,,,0.63,
1-Jul-20,,,,,
1-Aug-20,,,,,9.21
1-Sep-20,,,,,8.41
1-Oct-20,,,,,11.53
1-Nov-20,,,,,6.6
1-Dec-20,,,,,6.69
1-Jan-21,,,,,11.52
1-Feb-21,,,,,5.34
1-Mar-21,,,,,4.78
1-Apr-21,,,,,4.9
1-May-21,,,,,4.17
1-Jun-21,,,,,3.89
1-Jul-21,,,,,5.95
1-Aug-21,,,,,7.12
1-Sep-21,,,,3.49,8.37
1-Oct-21,,,,,10.06
1-Nov-21,,,,,9.45
1-Dec-21,,,,,6.25
1-Jan-22,,,,,7.39
1-Feb-22,,,,,5.21
1-Mar-22,,,,,4.5
1-Apr-22,,,,,5.35
1-May-22,,,,,3.39
1-Jun-22,,,,,3.78
1-Jul-22,,,,,6.2
1-Aug-22,,,,,7.02
1-Sep-22,,,,,8.34
1-Oct-22,,,,,7.7
1-Nov-22,,,,,8.12
1-Dec-22,,,,,
1-Jan-23,,,,,
1-Feb-23,,,,,
1-Mar-23,,,,,
1-Apr-23,,,,,
1-May-23,,,,,
1-Jun-23,,,,,
1-Jul-23,,,,,
1-Aug-23,,,,,
1-Sep-23,,,,,
1-Oct-23,,,,,
1-Nov-23,,,,,
1-Dec-23,,,,,
