date	Mul1	Ser2	KKIA3	CH4	UNZ5
Jan-13	0	0	0	0	0
Feb-13	0	0	0	0	0
Mar-13	0	0	0	0	0
Apr-13	0	0	0	0	0
May-13	0	0	0	0	0
Jun-13	0	0	0	0	0
Jul-13	0	0	0	0	0
Aug-13	0	0	0	0	0
Sep-13	0	0	0	0	0
Oct-13	6.8	6.36	6.78	0	6.32
Nov-13	6.91	7.06	6.86	0	6.44
Dec-13	6.67	6.04	6.79	0	6.39
Jan-14	5.7	6.1	5.65	0	5.48
Feb-14	5.33	6.04	5.19	0	5.18
Mar-14	5.6	6.03	5.42	0	4.98
Apr-14	5.44	5.49	5.22	0	4.83
May-14	4.8	4.58	4.45	0	4.06
Jun-14	4.42	4.21	4.2	0	3.9
Jul-14	4.08	4.15	3.96	0	3.7
Aug-14	5.12	4.98	4.97	0	4.46
Sep-14	6.25	5.93	6.05	0	5.69
Oct-14	7	6.92	7.02	0	6.57
Nov-14	7.29	7.25	7.03	0	6.75
Dec-14	6.73	6.72	6.62	0	6.33
Jan-15	5.75	5.24	5.89	0	5.61
Feb-15	5.72	5.64	5.85	0	5.44
Mar-15	6.2	5.64	5.85	0	5.56
Apr-15	5.04	5.01	5	0	4.53
May-15	4.64	4.34	4.42	0	4.1
Jun-15	4.28	4.1	4.06	3.56	3.78
Jul-15	4.19	4.09	4.21	4.3	3.88
Aug-15	4.21	4.53	4.7	4.82	4.44
Sep-15	5.8	5.59	5.98	6.22	5.56
Oct-15	7.06	6.32	6.69	6.19	6.12
Nov-15	7.42	7.05	7.58	7.47	7.12
Dec-15	6.79	6.26	6.89	6.61	6.71
Jan-16	6.85	5.65	6.59	6.49	6.24
Feb-16	6.14	5.69	6.1	5.93	5.93
Mar-16	5.7	5.64	5.79	5.74	5.14
Apr-16	5.33	5.07	5.15	5.33	4.7
May-16	4.73	4.5	4.58	4.63	4.17
Jun-16	3.95	3.68	3.76	3.83	3.51
Jul-16	4.39	4.05	4.29	4.13	3.94
Aug-16	4.93	4.5	4.8	4.77	4.51
Sep-16	6.12	5.62	5.84	5.9	5.51
Oct-16	7.03	6.29	6.85	8.13	6.56
Nov-16	6.99	6.68	7	6.53	6.68
Dec-16	6.09	5.78	6.28	6.05	6.12
Jan-17	5.17	5.32	5.58	0	5.11
Feb-17	5.4	5.53	5.63	0	5
Mar-17	5.41	5.05	5.34	0	5
Apr-17	0	4.91	5.11	4.85	4.75
May-17	0	4.23	4.65	4.25	4.12
Jun-17	0	3.8	3.8	3.88	3.49
Jul-17	0	3.66	3.74	3.75	3.4
Aug-17	0	4.49	4.7	4.54	4.39
Sep-17	0	5.64	6	6.05	5.61
Oct-17	0	6.79	7.3	7.36	6.87
Nov-17	0	6.33	7.77	6.31	6.62
Dec-17	0	6	5.86	6.04	5.79
Jan-18	0	5.99	6.66	7.02	5.19
Feb-18	0	5.31	5.57	5.55	5.03
Mar-18	0	0	5.5	5.35	5.34
Apr-18	0	0	5.29	5.06	4.98
May-18	0	0	4.57	4.54	4.19
Jun-18	0	0	3.93	4.58	3.53
Jul-18	0	0	3.84	4.49	3.97
Aug-18	0	0	4.69	5.48	4.7
Sep-18	0	0	5.73	6.55	5.71
Oct-18	0	0	6.79	7.4	6.28
Nov-18	0	0	7.26	7.95	6.26
Dec-18	0	0	6.67	7	5.42
Jan-19	0	0	5.82	6.69	6.05
Feb-19	0	0	6.43	7.24	6.34
Mar-19	0	0	6.38	6.98	5.58
Apr-19	0	0	5.39	6.21	4.8
May-19	0	0	4.47	5.18	4.16
Jun-19	0	0	3.91	4.44	3.75
Jul-19	0	0	3.9	4.8	2.85
Aug-19	0	0	4.82	5.32	4.56
Sep-19	0	0	6.11	0	5.58
Oct-19	0	0	7.28	0	5.33
Nov-19	0	0	6.97	0	5.98
Dec-19	0	0	6.54	0	5.41
Jan-20	0	0	6.24	0	5.34
Feb-20	0	0	5.78	0	4.36
Mar-20	0	0	5.65	0	
Apr-20	0	0		0	
May-20	0	0	4.71	0	
Jun-20	0	0	3.79	0.96	
Jul-20	0	0	4.14	0	
Aug-20	0	0	5.23	0	5.24
Sep-20	0	0	6.41	0	5.5
Oct-20	0	0	6.52	0	6.53
Nov-20	0	0	7.25	0	5.1
Dec-20	0	0	5.68	0	5.04
Jan-21	0	0	5.43	0	5.33
Feb-21	0	0	5.75	0	5.54
Mar-21	0	0	5.5	0	5.25
Apr-21	0	0	5.36	0	4.77
May-21	0	0	4.43	0	4
Jun-21	0	0	3.76	0	3.7
Jul-21	0	0	3.87	0	4.26
Aug-21	0	0	5.02	0	4.81
Sep-21	0	0	5.72	2.71	5.81
Oct-21	0	0	7.05	0	6.5
Nov-21	0	0	7.31	0	6.41
Dec-21	0	0	7.08	0	5.28
Jan-22	0	0	5.38	0	5.27
Feb-22	0	0	5.65	0	5.43
