date,PM-FAO,Hargreaves,PM General
Jan-13,-0.15,0.00,
Feb-13,-0.15,0.00,
Mar-13,-0.15,0.00,
Apr-13,-0.15,0.00,
May-13,-0.15,0.00,
Jun-13,-0.15,0.00,
Jul-13,-0.15,0.00,
Aug-13,-0.15,0.00,
Sep-13,-0.15,0.00,
Oct-13,60.36,6.78,10.72
Nov-13,57.52,6.86,10.35
Dec-13,53.06,6.79,11.72
Jan-14,46.17,5.65,19.12
Feb-14,20.76,5.19,1.34
Mar-14,45.66,5.42,6.34
Apr-14,39.28,5.22,5.37
May-14,38.89,4.45,5.09
Jun-14,35.42,4.20,5.13
Jul-14,36.19,3.96,5.06
Aug-14,42.46,4.97,6.65
Sep-14,50.04,6.05,7.85
Oct-14,58.21,7.02,10.31
Nov-14,59.36,7.03,10.29
Dec-14,47.40,6.62,15.87
Jan-15,43.57,5.89,13.19
Feb-15,50.13,5.85,17.60
Mar-15,49.09,5.85,6.80
Apr-15,32.99,5.00,4.49
May-15,41.51,4.42,5.54
Jun-15,36.61,4.06,5.12
Jul-15,38.17,4.21,5.73
Aug-15,42.36,4.70,6.14
Sep-15,50.15,5.98,8.15
Oct-15,57.68,6.69,10.58
Nov-15,54.05,7.58,11.52
Dec-15,58.53,6.89,18.06
Jan-16,53.13,6.59,11.56
Feb-16,51.27,6.10,12.20
Mar-16,43.03,5.79,8.63
Apr-16,39.41,5.15,5.38
May-16,37.11,4.58,4.99
Jun-16,34.20,3.76,4.72
Jul-16,33.49,4.29,5.16
Aug-16,40.12,4.80,5.77
Sep-16,50.54,5.84,8.57
Oct-16,59.82,6.85,10.47
Nov-16,53.83,7.00,10.71
Dec-16,49.99,6.28,13.11
Jan-17,37.93,5.58,15.82
Feb-17,41.42,5.63,11.42
Mar-17,38.70,5.34,5.15
Apr-17,34.41,5.11,4.12
May-17,37.50,4.65,5.40
Jun-17,33.27,3.80,4.29
Jul-17,34.49,3.74,4.63
Aug-17,41.42,4.70,6.16
Sep-17,49.42,6.00,7.94
Oct-17,51.35,7.30,10.14
Nov-17,41.15,7.77,7.44
Dec-17,47.85,5.86,8.97
Jan-18,56.27,6.66,12.24
Feb-18,41.04,5.57,10.10
Mar-18,45.20,5.50,8.16
Apr-18,39.60,5.29,4.99
May-18,36.54,4.57,5.25
Jun-18,35.31,3.93,5.03
Jul-18,27.77,3.84,3.53
Aug-18,45.05,4.69,7.13
Sep-18,51.17,5.73,8.65
Oct-18,51.85,6.79,8.48
Nov-18,49.97,7.26,9.14
Dec-18,49.77,6.67,10.40
Jan-19,45.82,5.82,19.10
Feb-19,53.04,6.43,11.34
Mar-19,59.02,6.38,15.57
Apr-19,42.88,5.39,6.53
May-19,40.98,4.47,5.94
Jun-19,34.41,3.91,5.20
Jul-19,39.32,3.90,5.92
Aug-19,41.98,4.82,6.36
Sep-19,49.30,6.11,8.31
Oct-19,58.07,7.28,10.84
Nov-19,55.94,6.97,12.42
Dec-19,55.69,6.54,11.07
Jan-20,46.68,6.24,14.70
Feb-20,44.84,5.78,9.32
Mar-20,45.98,5.65,6.86
Apr-20,36.65,#NUM!,
May-20,47.79,4.71,
Jun-20,35.81,3.79,
Jul-20,40.76,4.14,
Aug-20,50.57,5.23,
Sep-20,57.58,6.41,
Oct-20,64.53,6.52,
Nov-20,65.57,7.25,
Dec-20,46.78,5.68,
Jan-21,43.86,5.43,
Feb-21,46.21,5.75,
Mar-21,50.78,5.50,
Apr-21,50.62,5.36,
May-21,43.66,4.43,
Jun-21,38.30,3.76,
Jul-21,37.45,3.87,
Aug-21,47.88,5.02,
Sep-21,55.25,5.72,
Oct-21,60.38,7.05,
Nov-21,59.00,7.31,
Dec-21,60.57,7.08,
Jan-22,43.07,5.38,
Feb-22,52.16,5.65,
Mar-22,46.67,5.86,
Apr-22,44.15,5.28,
May-22,46.23,4.73,
Jun-22,32.74,3.91,
Jul-22,37.52,3.85,
Aug-22,50.81,4.72,
Sep-22,55.11,5.85,
Oct-22,61.44,6.57,
Nov-22,50.08,6.45,
Dec-22,55.43,6.60,
Jan-23,-0.15,0.00,
Feb-23,-0.15,0.00,
Mar-23,-0.15,0.00,
Apr-23,-0.15,0.00,
May-23,-0.15,0.00,
Jun-23,-0.15,0.00,
Jul-23,-0.15,0.00,
Aug-23,-0.15,0.00,
Sep-23,-0.15,0.00,
Oct-23,-0.15,0.00,
Nov-23,-0.15,0.00,
Dec-23,-0.15,0.00,
