date,PM-FAO,Hargreaves,PM General
Jan-13,-0.15,0.00,
Feb-13,-0.15,0.00,
Mar-13,-0.15,0.00,
Apr-13,-0.15,0.00,
May-13,-0.15,0.00,
Jun-13,-0.15,0.00,
Jul-13,-0.15,0.00,
Aug-13,-0.15,0.00,
Sep-13,-0.15,0.00,
Oct-13,57.30,6.80,9.96
Nov-13,56.87,6.91,10.59
Dec-13,51.17,6.67,11.71
Jan-14,51.68,5.70,15.81
Feb-14,46.81,5.33,16.00
Mar-14,44.15,5.60,6.27
Apr-14,37.69,5.44,4.52
May-14,37.55,4.80,4.55
Jun-14,38.01,4.42,4.66
Jul-14,42.70,4.08,5.24
Aug-14,50.58,5.12,6.67
Sep-14,49.12,6.25,7.02
Oct-14,42.51,7.00,7.69
Nov-14,55.75,7.29,9.78
Dec-14,47.13,6.73,17.77
Jan-15,27.93,5.75,1.84
Feb-15,32.67,5.72,2.15
Mar-15,36.21,6.20,2.64
Apr-15,23.98,5.04,1.61
May-15,29.38,4.64,2.20
Jun-15,26.77,4.28,2.24
Jul-15,39.60,4.19,9.20
Aug-15,41.23,4.21,8.13
Sep-15,43.28,5.80,5.34
Oct-15,45.42,7.06,5.82
Nov-15,36.87,7.42,4.17
Dec-15,38.43,6.79,3.22
Jan-16,47.78,6.85,11.53
Feb-16,51.15,6.14,14.60
Mar-16,44.94,5.70,9.35
Apr-16,38.55,5.33,4.24
May-16,38.13,4.73,4.28
Jun-16,35.53,3.95,4.07
Jul-16,33.65,4.39,4.47
Aug-16,38.93,4.93,4.94
Sep-16,48.28,6.12,7.32
Oct-16,54.52,7.03,8.77
Nov-16,49.90,6.99,8.89
Dec-16,49.15,6.09,12.60
Jan-17,38.03,5.17,8.35
Feb-17,42.23,5.40,14.83
Mar-17,36.64,5.41,5.07
Apr-17,-0.15,0.00,
May-17,-0.15,0.00,
Jun-17,-0.15,0.00,
Jul-17,-0.15,0.00,
Aug-17,-0.15,0.00,
Sep-17,-0.15,0.00,
Oct-17,-0.15,0.00,
Nov-17,-0.15,0.00,
Dec-17,-0.15,0.00,
Jan-18,-0.15,0.00,
Feb-18,-0.15,0.00,
Mar-18,-0.15,0.00,
Apr-18,-0.15,0.00,
May-18,-0.15,0.00,
Jun-18,-0.15,0.00,
Jul-18,-0.15,0.00,
Aug-18,-0.15,0.00,
Sep-18,-0.15,0.00,
Oct-18,-0.15,0.00,
Nov-18,-0.15,0.00,
Dec-18,-0.15,0.00,
Jan-19,-0.15,0.00,
Feb-19,-0.15,0.00,
Mar-19,-0.15,0.00,
Apr-19,-0.15,0.00,
May-19,-0.15,0.00,
Jun-19,-0.15,0.00,
Jul-19,-0.15,0.00,
Aug-19,-0.15,0.00,
Sep-19,-0.15,0.00,
Oct-19,-0.15,0.00,
Nov-19,-0.15,0.00,
Dec-19,-0.15,0.00,
Jan-20,-0.15,0.00,
Feb-20,-0.15,0.00,
Mar-20,-0.15,0.00,
Apr-20,-0.15,0.00,
May-20,-0.15,0.00,
Jun-20,-0.15,0.00,
Jul-20,-0.15,0.00,
Aug-20,-0.15,0.00,
Sep-20,-0.15,0.00,
Oct-20,-0.15,0.00,
Nov-20,-0.15,0.00,
Dec-20,-0.15,0.00,
Jan-21,-0.15,0.00,
Feb-21,-0.15,0.00,
Mar-21,-0.15,0.00,
Apr-21,-0.15,0.00,
May-21,-0.15,0.00,
Jun-21,-0.15,0.00,
Jul-21,-0.15,0.00,
Aug-21,-0.15,0.00,
Sep-21,-0.15,0.00,
Oct-21,-0.15,0.00,
Nov-21,-0.15,0.00,
Dec-21,-0.15,0.00,
Jan-22,-0.15,0.00,
Feb-22,-0.15,0.00,
Mar-22,-0.15,0.00,
Apr-22,-0.15,0.00,
May-22,-0.15,0.00,
Jun-22,-0.15,0.00,
Jul-22,-0.15,0.00,
Aug-22,-0.15,0.00,
Sep-22,-0.15,0.00,
Oct-22,-0.15,0.00,
Nov-22,-0.15,0.00,
Dec-22,-0.15,0.00,
Jan-23,-0.15,0.00,
Feb-23,-0.15,0.00,
Mar-23,-0.15,0.00,
Apr-23,-0.15,0.00,
May-23,-0.15,0.00,
Jun-23,-0.15,0.00,
Jul-23,-0.15,0.00,
Aug-23,-0.15,0.00,
Sep-23,-0.15,0.00,
Oct-23,-0.15,0.00,
Nov-23,-0.15,0.00,
Dec-23,-0.15,0.00,
