date,PM-FAO,Hargreaves,PM General
Jan-13,-0.15,0.00,
Feb-13,-0.15,0.00,
Mar-13,-0.15,0.00,
Apr-13,-0.15,0.00,
May-13,-0.15,0.00,
Jun-13,-0.15,0.00,
Jul-13,-0.15,0.00,
Aug-13,-0.15,0.00,
Sep-13,-0.15,0.00,
Oct-13,56.08,6.36,7.63
Nov-13,51.11,7.06,7.17
Dec-13,47.85,6.04,8.98
Jan-14,33.07,6.10,7.09
Feb-14,32.64,6.04,13.90
Mar-14,34.26,6.03,3.18
Apr-14,28.77,5.49,2.43
May-14,32.19,4.58,2.90
Jun-14,30.83,4.21,3.14
Jul-14,32.14,4.15,3.40
Aug-14,34.83,4.98,4.16
Sep-14,41.17,5.93,4.87
Oct-14,46.29,6.92,5.90
Nov-14,46.11,7.25,5.87
Dec-14,38.60,6.72,11.72
Jan-15,40.65,5.24,16.11
Feb-15,44.49,5.64,15.15
Mar-15,44.19,5.64,4.44
Apr-15,31.82,5.01,2.94
May-15,37.27,4.34,3.42
Jun-15,34.71,4.10,3.43
Jul-15,37.48,4.09,4.04
Aug-15,39.27,4.53,4.37
Sep-15,44.00,5.59,5.59
Oct-15,52.22,6.32,7.14
Nov-15,51.19,7.05,8.12
Dec-15,52.02,6.26,14.74
Jan-16,43.70,5.65,9.68
Feb-16,46.67,5.69,10.34
Mar-16,42.00,5.64,5.83
Apr-16,35.33,5.07,3.20
May-16,35.74,4.50,3.33
Jun-16,32.75,3.68,3.05
Jul-16,32.44,4.05,3.56
Aug-16,36.12,4.50,4.01
Sep-16,47.48,5.62,6.14
Oct-16,52.62,6.29,7.21
Nov-16,46.70,6.68,6.71
Dec-16,42.77,5.78,8.04
Jan-17,40.77,5.32,16.50
Feb-17,39.84,5.53,13.55
Mar-17,35.77,5.05,3.61
Apr-17,33.38,4.91,2.81
May-17,32.90,4.23,2.83
Jun-17,32.69,3.80,2.95
Jul-17,32.90,3.66,3.11
Aug-17,39.06,4.49,4.31
Sep-17,47.50,5.64,5.92
Oct-17,48.03,6.79,6.92
Nov-17,42.34,6.33,5.87
Dec-17,46.28,6.00,7.57
Jan-18,31.19,5.99,1.96
Feb-18,20.51,5.31,1.24
Mar-18,-0.15,0.00,
Apr-18,-0.15,0.00,
May-18,-0.15,0.00,
Jun-18,-0.15,0.00,
Jul-18,-0.15,0.00,
Aug-18,-0.15,0.00,
Sep-18,-0.15,0.00,
Oct-18,-0.15,0.00,
Nov-18,-0.15,0.00,
Dec-18,-0.15,0.00,
Jan-19,-0.15,0.00,
Feb-19,-0.15,0.00,
Mar-19,-0.15,0.00,
Apr-19,-0.15,0.00,
May-19,-0.15,0.00,
Jun-19,-0.15,0.00,
Jul-19,-0.15,0.00,
Aug-19,-0.15,0.00,
Sep-19,-0.15,0.00,
Oct-19,-0.15,0.00,
Nov-19,-0.15,0.00,
Dec-19,-0.15,0.00,
Jan-20,-0.15,0.00,
Feb-20,-0.15,0.00,
Mar-20,-0.15,0.00,
Apr-20,-0.15,0.00,
May-20,-0.15,0.00,
Jun-20,-0.15,0.00,
Jul-20,-0.15,0.00,
Aug-20,-0.15,0.00,
Sep-20,-0.15,0.00,
Oct-20,-0.15,0.00,
Nov-20,-0.15,0.00,
Dec-20,-0.15,0.00,
Jan-21,-0.15,0.00,
Feb-21,-0.15,0.00,
Mar-21,-0.15,0.00,
Apr-21,-0.15,0.00,
May-21,-0.15,0.00,
Jun-21,-0.15,0.00,
Jul-21,-0.15,0.00,
Aug-21,-0.15,0.00,
Sep-21,-0.15,0.00,
Oct-21,-0.15,0.00,
Nov-21,-0.15,0.00,
Dec-21,-0.15,0.00,
Jan-22,-0.15,0.00,
Feb-22,-0.15,0.00,
Mar-22,-0.15,0.00,
Apr-22,-0.15,0.00,
May-22,-0.15,0.00,
Jun-22,-0.15,0.00,
Jul-22,-0.15,0.00,
Aug-22,-0.15,0.00,
Sep-22,-0.15,0.00,
Oct-22,-0.15,0.00,
Nov-22,-0.15,0.00,
Dec-22,-0.15,0.00,
Jan-23,-0.15,0.00,
Feb-23,-0.15,0.00,
Mar-23,-0.15,0.00,
Apr-23,-0.15,0.00,
May-23,-0.15,0.00,
Jun-23,-0.15,0.00,
Jul-23,-0.15,0.00,
Aug-23,-0.15,0.00,
Sep-23,-0.15,0.00,
Oct-23,-0.15,0.00,
Nov-23,-0.15,0.00,
Dec-23,-0.15,0.00,
