date,PM-FAO,Hargreaves,PM General
Jan-13,-0.15,0.00,
Feb-13,-0.15,0.00,
Mar-13,-0.15,0.00,
Apr-13,-0.15,0.00,
May-13,-0.15,0.00,
Jun-13,-0.15,0.00,
Jul-13,-0.15,0.00,
Aug-13,-0.15,0.00,
Sep-13,-0.15,0.00,
Oct-13,57.89,6.32,9.55
Nov-13,56.98,6.44,9.78
Dec-13,50.51,6.39,8.84
Jan-14,45.89,5.48,10.33
Feb-14,41.56,5.18,8.00
Mar-14,44.13,4.98,5.57
Apr-14,39.93,4.83,4.97
May-14,40.02,4.06,5.05
Jun-14,35.83,3.90,4.95
Jul-14,35.58,3.70,4.78
Aug-14,41.29,4.46,6.43
Sep-14,46.75,5.69,7.26
Oct-14,54.40,6.57,8.92
Nov-14,57.94,6.75,9.37
Dec-14,45.85,6.33,13.62
Jan-15,41.41,5.61,8.71
Feb-15,48.26,5.44,11.81
Mar-15,5.62,5.56,1.79
Apr-15,33.92,4.53,4.05
May-15,40.35,4.10,4.91
Jun-15,35.91,3.78,4.63
Jul-15,37.20,3.88,5.19
Aug-15,41.03,4.44,5.84
Sep-15,51.04,5.56,7.65
Oct-15,57.80,6.12,9.56
Nov-15,53.60,7.12,10.48
Dec-15,55.77,6.71,12.67
Jan-16,49.06,6.24,8.51
Feb-16,48.11,5.93,9.24
Mar-16,40.77,5.14,6.71
Apr-16,40.50,4.70,5.17
May-16,37.35,4.17,4.72
Jun-16,33.39,3.51,4.22
Jul-16,33.58,3.94,4.86
Aug-16,39.92,4.51,5.61
Sep-16,48.89,5.51,7.95
Oct-16,58.72,6.56,9.88
Nov-16,50.97,6.68,9.08
Dec-16,47.03,6.12,9.69
Jan-17,34.87,5.11,7.02
Feb-17,39.29,5.00,7.46
Mar-17,37.71,5.00,4.64
Apr-17,35.72,4.75,3.89
May-17,37.55,4.12,4.65
Jun-17,33.86,3.49,4.10
Jul-17,34.64,3.40,4.47
Aug-17,43.63,4.39,6.22
Sep-17,51.50,5.61,7.64
Oct-17,51.47,6.87,9.20
Nov-17,45.47,6.62,8.11
Dec-17,46.24,5.79,7.47
Jan-18,36.32,5.19,6.37
Feb-18,42.61,5.03,6.16
Mar-18,38.24,5.34,4.38
Apr-18,37.13,4.98,4.65
May-18,35.76,4.19,4.78
Jun-18,28.32,3.53,3.42
Jul-18,43.85,3.97,6.60
Aug-18,50.42,4.70,8.02
Sep-18,56.16,5.71,8.34
Oct-18,55.64,6.28,9.24
Nov-18,46.99,6.26,7.96
Dec-18,43.19,5.42,10.47
Jan-19,51.42,6.05,9.12
Feb-19,56.82,6.34,11.40
Mar-19,42.85,5.58,5.61
Apr-19,41.09,4.80,5.15
May-19,35.39,4.16,4.95
Jun-19,39.03,3.75,5.34
Jul-19,81.53,2.85,8.58
Aug-19,70.68,4.56,8.90
Sep-19,101.91,5.58,19.76
Oct-19,107.85,5.33,21.96
Nov-19,81.73,5.98,11.70
Dec-19,69.30,5.41,11.58
Jan-20,70.18,5.34,14.51
Feb-20,29.19,4.36,2.84
Mar-20,#VALUE!,#VALUE!,#VALUE!
Apr-20,#VALUE!,#VALUE!,#VALUE!
May-20,#VALUE!,#VALUE!,#VALUE!
Jun-20,#VALUE!,#VALUE!,#VALUE!
Jul-20,#VALUE!,#VALUE!,#VALUE!
Aug-20,54.81,5.24,9.21
Sep-20,56.43,5.50,8.41
Oct-20,58.07,6.53,11.53
Nov-20,39.61,5.10,6.60
Dec-20,38.22,5.04,6.69
Jan-21,43.00,5.33,11.52
Feb-21,43.95,5.54,5.34
Mar-21,42.94,5.25,4.78
Apr-21,38.19,4.77,4.90
May-21,33.25,4.00,4.17
Jun-21,31.63,3.70,3.89
Jul-21,41.79,4.26,5.95
Aug-21,47.08,4.81,7.12
Sep-21,52.56,5.81,8.37
Oct-21,54.96,6.50,10.06
Nov-21,56.65,6.41,9.45
Dec-21,37.83,5.28,6.25
Jan-22,47.21,5.27,7.39
Feb-22,39.61,5.43,5.21
Mar-22,37.79,5.57,4.50
Apr-22,40.33,5.05,5.35
May-22,28.69,3.98,3.39
Jun-22,31.49,3.59,3.78
Jul-22,42.88,4.04,6.20
Aug-22,46.48,4.81,7.02
Sep-22,51.44,5.53,8.34
Oct-22,44.69,5.83,7.70
Nov-22,48.28,6.10,8.12
Dec-22,-0.22,#NUM!,
Jan-23,-0.15,0.00,
Feb-23,-0.15,0.00,
Mar-23,-0.15,0.00,
Apr-23,-0.15,0.00,
May-23,-0.15,0.00,
Jun-23,-0.15,0.00,
Jul-23,-0.15,0.00,
Aug-23,-0.15,0.00,
Sep-23,-0.15,0.00,
Oct-23,-0.15,0.00,
Nov-23,-0.15,0.00,
Dec-23,-0.15,0.00,
